  6352-1    pdf mean     463 m  worst     470 m  Lang Son
  6252-2    pdf mean     462 m  worst     466 m  Lang Met
  6250-1    pdf mean     462 m  worst     469 m  Hai Duong
  6245-4    pdf mean     462 m  worst     465 m  Nhuong Ban
  6146-3    pdf mean     461 m  worst     480 m  Vinh
  6146-4    pdf mean     461 m  worst     463 m  Phu Dien Chau
  6351-3    pdf mean     460 m  worst     464 m  Dong Trieu
  6252-3    pdf mean     459 m  worst     464 m  Mo Trang
  6249-3    pdf mean     459 m  worst     463 m  Phat Diem
  6251-2    pdf mean     459 m  worst     471 m  Pha Lai
  6253-3    pdf mean     458 m  worst     494 m  Yen Lac
  6251-1    pdf mean     458 m  worst     469 m  Luc Nam
  6354-3    pdf mean     458 m  worst     463 m  Phuc Hoa
  5928-1    pdf mean     457 m  worst     493 m  Dong Thai
  6254-2    pdf mean     457 m  worst     480 m  Cao Bang
  6251-4    pdf mean     457 m  worst     462 m  Phu Lang Thuong
  6149-1    pdf mean     456 m  worst     464 m  Ninh Binh
  6152-2    pdf mean     456 m  worst     467 m  Thai Nguyen
  6253-1    pdf mean     456 m  worst     461 m  That Khe
  6253-4    pdf mean     456 m  worst     482 m  Ban Cao
  6148-1    pdf mean     456 m  worst     466 m  Thanh Hoa
  6253-2    pdf mean     455 m  worst     466 m  Fac Ta
  6353-3    pdf mean     455 m  worst     465 m  Na Cham
  6250-4    pdf mean     455 m  worst     458 m  Ke Sat
  6252-4    pdf mean     455 m  worst     463 m  La Gieo
  6354-4    pdf mean     455 m  worst     463 m  Trung Khanh Phu
  6250-3    pdf mean     455 m  worst     464 m  Hung Yen
  6151-2    pdf mean     454 m  worst     465 m  Ha Noi
  6147-4    pdf mean     454 m  worst     472 m  Phong Bai
  6249-4    pdf mean     454 m  worst     455 m  Nam Dinh
  6046-1    pdf mean     453 m  worst     471 m  Cam Ngoc
  6248-4    pdf mean     453 m  worst     458 m  Cua Day
  5947-2    pdf mean     453 m  worst     465 m  Con Cuong
  6147-3    pdf mean     453 m  worst     468 m  Cho Giat
  6148-2    pdf mean     453 m  worst     463 m  Sam Son
  6148-3    pdf mean     452 m  worst     457 m  Tong Cong
  6047-2    pdf mean     452 m  worst     471 m  Xom Bau
  6047-3    pdf mean     452 m  worst     463 m  Lang Rao
  6145-1    pdf mean     452 m  worst     466 m  Ha Tinh
  6153-2    pdf mean     451 m  worst     455 m  Bac Kan
  6026-1    pdf mean     451 m  worst     498 m  Thuan Hoa
  6046-2    pdf mean     451 m  worst     464 m  Pho Chau
  5947-1    pdf mean     450 m  worst     458 m  Ban Na Ca
  6351-1    pdf mean     450 m  worst     458 m  Thanh Am
  6049-1    pdf mean     450 m  worst     458 m  Lang Be
  6151-3    pdf mean     450 m  worst     459 m  Son Tay
  6047-1    pdf mean     450 m  worst     458 m  Nghia Hung
  6150-1    pdf mean     450 m  worst     459 m  Ha Dong
  6048-1    pdf mean     449 m  worst     459 m  Bai Thuong
  6046-4    pdf mean     449 m  worst     456 m  Tri Le
  6045-1    pdf mean     448 m  worst     467 m  Rao Qua
  6048-3    pdf mean     448 m  worst     458 m  Ke Bon
  6153-3    pdf mean     447 m  worst     459 m  Cho Don
  6049-2    pdf mean     447 m  worst     452 m  Lang Tung
  6154-1    pdf mean     447 m  worst     454 m  Nam Quet
  6254-3    pdf mean     447 m  worst     464 m  Nuoc Hai
  6050-2    pdf mean     447 m  worst     460 m  Lang Tam
  6049-3    pdf mean     447 m  worst     458 m  Lang Chanh
  6052-1    pdf mean     447 m  worst     466 m  Thuc Thuy
  6149-4    pdf mean     447 m  worst     465 m  Xom Go
  6050-1    pdf mean     446 m  worst     462 m  Hoa Binh
  6153-1    pdf mean     446 m  worst     455 m  Na Fac
  6254-4    pdf mean     446 m  worst     453 m  Soc Giang
  6047-4    pdf mean     446 m  worst     455 m  Ban Dan
  6053-3    pdf mean     444 m  worst     464 m  Ham Yen
  6154-2    pdf mean     444 m  worst     451 m  Nguyen Binh
  6254-1    pdf mean     444 m  worst     467 m  Tra Linh
  6051-4    pdf mean     444 m  worst     453 m  Phu Tho
  6053-1    pdf mean     443 m  worst     452 m  Paka
  6052-2    pdf mean     443 m  worst     448 m  Le My
  6735-3    pdf mean     443 m  worst     524 m  Phu Tuc
  6051-1    pdf mean     443 m  worst     449 m  Viet Tri
  6153-4    pdf mean     441 m  worst     448 m  Cho Ra
  6050-4    pdf mean     441 m  worst     451 m  Cho Bo
  6053-2    pdf mean     441 m  worst     452 m  Chiem Hoa
  6049-4    pdf mean     441 m  worst     447 m  Hoi Xuan
  6052-4    pdf mean     440 m  worst     462 m  Tuyen Quang
  6046-3    pdf mean     440 m  worst     451 m  Ban Ka Long
  5952-2    pdf mean     439 m  worst     448 m  Yen Bay
  6054-4    pdf mean     439 m  worst     446 m  Muong Cha
  5953-3    pdf mean     439 m  worst     450 m  Luc An Chau
  5947-4    pdf mean     438 m  worst     448 m  Ban Xieng Lip
  5951-2    pdf mean     438 m  worst     449 m  Nuoc Moc
  6048-4    pdf mean     438 m  worst     448 m  Ban Pang
  5848-2    pdf mean     437 m  worst     443 m  Ban Tha Lang
  6054-1    pdf mean     437 m  worst     449 m  Ban Le
  6055-2    pdf mean     437 m  worst     457 m  Na Kung
  6054-2    pdf mean     437 m  worst     456 m  Bac Me
  6053-4    pdf mean     437 m  worst     449 m  Lang Dat
  6051-2    pdf mean     436 m  worst     448 m  Hoang Xa
  5953-1    pdf mean     436 m  worst     447 m  Bac Quang
  5847-1    pdf mean     436 m  worst     442 m  Cua Rao
  5952-1    pdf mean     435 m  worst     444 m  Phu Yen Binh
  6051-3    pdf mean     435 m  worst     440 m  Xom Chai
  5950-4    pdf mean     435 m  worst     440 m  Moc Chau
  5848-3    pdf mean     435 m  worst     450 m  Ban Huoi Heo
  5953-2    pdf mean     435 m  worst     442 m  Lang Muong
  5954-2    pdf mean     435 m  worst     447 m  Lang Zoi
  5948-1    pdf mean     434 m  worst     449 m  Ban Xen Con
  5853-2    pdf mean     434 m  worst     442 m  Bao Ha
  6055-3    pdf mean     434 m  worst     449 m  Na Lay
  5950-2    pdf mean     434 m  worst     442 m  Ban Na Sun
  6129-2    pdf mean     433 m  worst     489 m  Can Tho
  5951-3    pdf mean     433 m  worst     451 m  Van Yen
  6054-3    pdf mean     432 m  worst     442 m  Na Mong
  5851-1    pdf mean     431 m  worst     434 m  Ban Luu
  5954-1    pdf mean     431 m  worst     439 m  Ha Giang
  5847-4    pdf mean     430 m  worst     438 m  Muong Sen
  5852-4    pdf mean     430 m  worst     437 m  Kim Noi
  5852-2    pdf mean     430 m  worst     435 m  Muong Chen
  5852-3    pdf mean     429 m  worst     444 m  Ban Na Tong
  5852-1    pdf mean     428 m  worst     440 m  Tu Le
  5953-4    pdf mean     427 m  worst     431 m  Yen Binh Xa
  5854-3    pdf mean     426 m  worst     435 m  Ngai Fong Tion
  5854-2    pdf mean     426 m  worst     429 m  Pa Kha
  5751-1    pdf mean     425 m  worst     433 m  Son La
  5954-3    pdf mean     422 m  worst     440 m  Hoang Su Phi
  5853-4    pdf mean     420 m  worst     424 m  Pho Lu
  5752-1    pdf mean     419 m  worst     433 m  Than Uyen
  5851-4    pdf mean     419 m  worst     427 m  Ban Ang
  5753-4    pdf mean     419 m  worst     428 m  Ban Ko La
  5753-3    pdf mean     418 m  worst     423 m  Muong Khoa
  5753-1    pdf mean     417 m  worst     426 m  Lao Kay
  5651-2    pdf mean     416 m  worst     428 m  Ban Kha
  5652-2    pdf mean     415 m  worst     421 m  Tuan Giao
  6028-2    pdf mean     414 m  worst     489 m  Kien Hung
  5753-2    pdf mean     414 m  worst     420 m  Chom Chang
  5754-3    pdf mean     413 m  worst     427 m  Muong Hum
  5651-1    pdf mean     413 m  worst     424 m  Ban Muong Lan
  5653-3    pdf mean     412 m  worst     423 m  Lai Chau
  5653-2    pdf mean     412 m  worst     419 m  Nam Ma
  5654-2    pdf mean     411 m  worst     414 m  Phong Tho
  5553-2    pdf mean     411 m  worst     422 m  Muong No
  5553-1    pdf mean     408 m  worst     416 m  Muong Boum
  5652-1    pdf mean     407 m  worst     415 m  Ban Nam Nen
  5652-4    pdf mean     406 m  worst     420 m  Muong Tong
  5653-4    pdf mean     406 m  worst     409 m  Ta Phing
  5553-4    pdf mean     405 m  worst     413 m  Muong Te
  5553-3    pdf mean     405 m  worst     409 m  Muong Tong
  5554-3    pdf mean     402 m  worst     405 m  Ban La Sin
  5453-1    pdf mean     401 m  worst     404 m  Giang Mung Pho
  5552-1    pdf mean     400 m  worst     404 m  Muong Cha
  6452-2    pdf mean     398 m  worst     483 m  Binh Lieu
  6052-3    pdf mean     396 m  worst     452 m  Doan Hung
  6252-1    pdf mean     387 m  worst     482 m  Pho Binh Gia
  6331-3    pdf mean     376 m  worst     499 m  Ben Cat
  6129-3    pdf mean     369 m  worst     466 m  Phong Phu
  6048-2    pdf mean     362 m  worst     452 m  Dong Tau
  5752-4    pdf mean     350 m  worst     426 m  Quynh Nhai
  6029-1    pdf mean     345 m  worst     475 m  Long Xuyen
  5952-3    pdf mean     343 m  worst     425 m  Nghia Lo
  6145-4    pdf mean     321 m  worst     441 m  Quang Te
  5947-3    pdf mean     318 m  worst     438 m  Khe Bo
  5454-2    pdf mean     318 m  worst     394 m  Ban Me Rang
